DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-11.838
-88	-11.6072
-86	-10.981
-84	-10.106
-82	-9.12141
-80	-8.1197
-78	-7.1503
-76	-6.23528
-74	-5.38187
-72	-4.59008
-70	-3.85666
-68	-3.17716
-66	-2.54689
-64	-1.96137
-62	-1.41651
-60	-0.908647
-58	-0.434561
-56	0.00857912
-54	0.423251
-52	0.81162
-50	1.17558
-48	1.51681
-46	1.83675
-44	2.13669
-42	2.41777
-40	2.68099
-38	2.92723
-36	3.15727
-34	3.3718
-32	3.57145
-30	3.75676
-28	3.92821
-26	4.08623
-24	4.2312
-22	4.36347
-20	4.48331
-18	4.591
-16	4.68677
-14	4.77079
-12	4.84326
-10	4.90429
-8	4.95402
-6	4.99253
-4	5.0199
-2	5.03617
0	5.04138
2	5.03553
4	5.0186
6	4.99057
8	4.95137
10	4.90094
12	4.83917
14	4.76593
16	4.68109
18	4.58446
20	4.47584
22	4.35499
24	4.22165
26	4.0755
28	3.9162
30	3.74334
32	3.55648
34	3.35511
36	3.13867
38	2.9065
40	2.65788
42	2.39197
44	2.10785
46	1.80445
48	1.48057
50	1.13481
52	0.765603
54	0.371136
56	-0.05068
58	-0.502256
60	-0.986389
62	-1.50633
64	-2.06586
66	-2.66941
68	-3.3221
70	-4.02987
72	-4.79947
74	-5.63828
76	-6.55371
78	-7.55166
80	-8.63268
82	-9.78355
84	-10.9598
86	-12.0559
88	-12.8793
90	-13.193
