VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	138.619
1.01	135.629
1.02	132.681
1.03	129.776
1.04	126.913
1.05	124.092
1.06	121.313
1.07	118.577
1.08	115.882
1.09	113.229
1.1	110.616
1.11	108.044
1.12	105.511
1.13	103.018
1.14	100.564
1.15	98.1476
1.16	95.7685
1.17	93.4259
1.18	91.119
1.19	88.8471
1.2	86.6092
1.21	84.4044
1.22	82.2319
1.23	80.0907
1.24	77.9796
1.25	75.8975
1.26	73.8433
1.27	71.8155
1.28	69.8126
1.29	67.8327
1.3	65.8735
1.31	63.9322
1.32	62.005
1.33	60.0869
1.34	58.1707
1.35	56.2457
1.36	54.2963
1.37	52.2997
1.38	50.2266
1.39	48.0566
1.4	45.8417
1.41	43.8244
1.42	42.3355
1.43	41.3019
1.44	40.3319
1.45	39.2227
1.46	37.9719
1.47	36.6277
1.48	35.2306
1.49	33.8071
1.5	32.3736
1.51	30.9401
1.52	29.5128
1.53	28.0961
1.54	26.6929
1.55	25.3055
1.56	23.9358
1.57	22.5853
1.58	21.2557
1.59	19.9486
1.6	18.6656
1.61	17.4084
1.62	16.1788
1.63	14.979
1.64	13.8111
1.65	12.6775
1.66	11.5806
1.67	10.5233
1.68	9.50825
1.69	8.53861
1.7	7.61745
1.71	6.74794
1.72	5.93327
1.73	5.17659
1.74	4.48089
1.75	3.84901
1.76	3.28356
1.77	2.78715
1.78	2.36291
1.79	2.01624
1.8	1.75892
1.81	1.61565
1.82	1.61772
1.83	1.76693
1.84	2.0351
1.85	2.40002
1.86	2.85202
1.87	3.38735
1.88	4.00389
1.89	4.69931
1.9	5.47039
1.91	6.31277
1.92	7.22103
1.93	8.18873
1.94	9.2086
1.95	10.2727
1.96	11.3725
1.97	12.4994
1.98	13.6444
1.99	14.7987
2	15.9538
2.01	17.1014
2.02	18.2337
2.03	19.3435
2.04	20.4243
2.05	21.4703
2.06	22.4763
2.07	23.4381
2.08	24.352
2.09	25.2152
2.1	26.0253
2.11	26.7809
2.12	27.4808
2.13	28.1246
2.14	28.7121
2.15	29.2437
2.16	29.7199
2.17	30.1415
2.18	30.5096
2.19	30.8253
2.2	31.0896
2.21	31.3035
2.22	31.468
2.23	31.5837
2.24	31.6506
2.25	31.6683
2.26	31.635
2.27	31.5478
2.28	31.4012
2.29	31.1865
2.3	30.8913
2.31	30.4995
2.32	29.9998
2.33	29.4111
2.34	28.8325
2.35	28.4483
2.36	28.3635
2.37	28.4606
2.38	28.5525
2.39	28.5461
2.4	28.4306
2.41	28.2235
2.42	27.945
2.43	27.6107
2.44	27.2315
2.45	26.8148
2.46	26.3656
2.47	25.8872
2.48	25.3819
2.49	24.8511
2.5	24.296
2.51	23.7171
2.52	23.115
2.53	22.4898
2.54	21.8419
2.55	21.1712
2.56	20.4778
2.57	19.7621
2.58	19.0241
2.59	18.2642
2.6	17.483
2.61	16.6813
2.62	15.8601
2.63	15.0208
2.64	14.1652
2.65	13.2957
2.66	12.4152
2.67	11.5273
2.68	10.6361
2.69	9.74674
2.7	8.86496
2.71	7.99731
2.72	7.15109
2.73	6.3342
2.74	5.55499
2.75	4.82205
2.76	4.14386
2.77	3.5286
2.78	2.98395
2.79	2.5174
2.8	2.13776
2.81	1.85882
2.82	1.70468
2.83	1.70195
2.84	1.84832
2.85	2.11295
2.86	2.46802
2.87	2.89598
2.88	3.38441
2.89	3.92228
2.9	4.49865
2.91	5.10249
2.92	5.72289
2.93	6.34936
2.94	6.97217
2.95	7.58254
2.96	8.17285
2.97	8.73663
2.98	9.2686
2.99	9.76463
3	10.2216
3.01	10.6373
3.02	11.0103
3.03	11.3399
3.04	11.626
3.05	11.8688
3.06	12.069
3.07	12.2275
3.08	12.3455
3.09	12.4241
3.1	12.4647
3.11	12.4688
3.12	12.4377
3.13	12.3729
3.14	12.2758
3.15	12.1479
3.16	11.9906
3.17	11.8051
3.18	11.5929
3.19	11.3552
3.2	11.0935
3.21	10.8089
3.22	10.5029
3.23	10.1767
3.24	9.83181
3.25	9.46951
3.26	9.09131
3.27	8.69873
3.28	8.2934
3.29	7.87702
3.3	7.45141
3.31	7.01855
3.32	6.58053
3.33	6.13963
3.34	5.69831
3.35	5.25925
3.36	4.82531
3.37	4.39961
3.38	3.98549
3.39	3.58648
3.4	3.20626
3.41	2.84858
3.42	2.51706
3.43	2.21503
3.44	1.94524
3.45	1.70964
3.46	1.50922
3.47	1.34416
3.48	1.21486
3.49	1.12611
3.5	1.0965
3.51	1.12531
3.52	1.17273
3.53	1.2229
3.54	1.27638
3.55	1.33811
3.56	1.41334
3.57	1.506
3.58	1.61846
3.59	1.75192
3.6	1.90679
3.61	2.08304
3.62	2.28032
3.63	2.49801
3.64	2.73529
3.65	2.99115
3.66	3.2644
3.67	3.55373
3.68	3.85772
3.69	4.17484
3.7	4.50356
3.71	4.8423
3.72	5.18948
3.73	5.54354
3.74	5.90298
3.75	6.26633
3.76	6.63216
3.77	6.99913
3.78	7.36594
3.79	7.73134
3.8	8.09414
3.81	8.45314
3.82	8.80719
3.83	9.15505
3.84	9.49546
3.85	9.82697
3.86	10.148
3.87	10.4568
3.88	10.7516
3.89	11.0313
3.9	11.2969
3.91	11.5534
3.92	11.8106
3.93	12.0788
3.94	12.3607
3.95	12.6498
3.96	12.9358
3.97	13.2111
3.98	13.472
3.99	13.7173
4	13.9472
