DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-12.9727
-88	-12.675
-86	-11.8885
-84	-10.8324
-82	-9.68976
-80	-8.56443
-78	-7.50234
-76	-6.51855
-74	-5.61391
-72	-4.78359
-70	-4.02085
-68	-3.3188
-66	-2.67101
-64	-2.07179
-62	-1.51615
-60	-0.999782
-58	-0.518984
-56	-0.07056
-54	0.348245
-52	0.739815
-50	1.10622
-48	1.44925
-46	1.77049
-44	2.07131
-42	2.35291
-40	2.61636
-38	2.8626
-36	3.09245
-34	3.30665
-32	3.50585
-30	3.69063
-28	3.86149
-26	4.0189
-24	4.16324
-22	4.29488
-20	4.41414
-18	4.52127
-16	4.61653
-14	4.70013
-12	4.77223
-10	4.83299
-8	4.88254
-6	4.92098
-4	4.94838
-2	4.9648
0	4.97027
2	4.9648
4	4.94838
6	4.92098
8	4.88254
10	4.83299
12	4.77223
14	4.70013
16	4.61653
18	4.52127
20	4.41414
22	4.29488
24	4.16324
26	4.0189
28	3.86149
30	3.69063
32	3.50585
34	3.30665
36	3.09245
38	2.86259
40	2.61635
42	2.3529
44	2.0713
46	1.77048
48	1.44924
50	1.1062
52	0.739799
54	0.348226
56	-0.0705822
58	-0.51901
60	-0.999813
62	-1.51619
64	-2.07184
66	-2.67107
68	-3.31886
70	-4.02093
72	-4.78369
74	-5.61404
76	-6.51871
78	-7.50255
80	-8.56469
82	-9.69011
84	-10.8329
86	-11.8891
88	-12.6757
90	-12.9735
