VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	169.445
1.01	166.77
1.02	164.107
1.03	161.458
1.04	158.823
1.05	156.205
1.06	153.605
1.07	151.025
1.08	148.464
1.09	145.926
1.1	143.409
1.11	140.916
1.12	138.447
1.13	136.003
1.14	133.584
1.15	131.191
1.16	128.825
1.17	126.485
1.18	124.171
1.19	121.886
1.2	119.627
1.21	117.396
1.22	115.193
1.23	113.017
1.24	110.869
1.25	108.748
1.26	106.655
1.27	104.589
1.28	102.551
1.29	100.539
1.3	98.5541
1.31	96.5957
1.32	94.6636
1.33	92.7574
1.34	90.8768
1.35	89.0216
1.36	87.1914
1.37	85.3858
1.38	83.6045
1.39	81.8471
1.4	80.1132
1.41	78.4024
1.42	76.7144
1.43	75.0487
1.44	73.4049
1.45	71.7827
1.46	70.1815
1.47	68.6011
1.48	67.0409
1.49	65.5006
1.5	63.9797
1.51	62.4779
1.52	60.9947
1.53	59.5298
1.54	58.0827
1.55	56.653
1.56	55.2405
1.57	53.8446
1.58	52.465
1.59	51.1014
1.6	49.7535
1.61	48.4208
1.62	47.103
1.63	45.7999
1.64	44.5112
1.65	43.2365
1.66	41.9756
1.67	40.7283
1.68	39.4943
1.69	38.2734
1.7	37.0655
1.71	35.8703
1.72	34.6878
1.73	33.5178
1.74	32.3602
1.75	31.2151
1.76	30.0823
1.77	28.962
1.78	27.8542
1.79	26.759
1.8	25.6765
1.81	24.607
1.82	23.5507
1.83	22.5079
1.84	21.479
1.85	20.4645
1.86	19.4647
1.87	18.4803
1.88	17.5119
1.89	16.5601
1.9	15.6259
1.91	14.71
1.92	13.8133
1.93	12.937
1.94	12.0821
1.95	11.2498
1.96	10.4413
1.97	9.65812
1.98	8.90157
1.99	8.17315
2	7.47443
2.01	6.80699
2.02	6.17247
2.03	5.57249
2.04	5.00871
2.05	4.48277
2.06	3.99628
2.07	3.55089
2.08	3.14835
2.09	2.79065
2.1	2.48043
2.11	2.22156
2.12	2.02008
2.13	1.88495
2.14	1.82681
2.15	1.8528
2.16	1.96153
2.17	2.14507
2.18	2.39502
2.19	2.70549
2.2	3.07301
2.21	3.49546
2.22	3.97129
2.23	4.49899
2.24	5.07678
2.25	5.70251
2.26	6.37357
2.27	7.08692
2.28	7.83906
2.29	8.62614
2.3	9.44397
2.31	10.2881
2.32	11.1539
2.33	12.0365
2.34	12.9311
2.35	13.8328
2.36	14.7369
2.37	15.6388
2.38	16.5338
2.39	17.4178
2.4	18.2867
2.41	19.1369
2.42	19.965
2.43	20.7678
2.44	21.5428
2.45	22.2876
2.46	23.0001
2.47	23.6787
2.48	24.322
2.49	24.9291
2.5	25.499
2.51	26.0315
2.52	26.5261
2.53	26.983
2.54	27.4022
2.55	27.784
2.56	28.1291
2.57	28.438
2.58	28.7113
2.59	28.9499
2.6	29.1547
2.61	29.3266
2.62	29.4665
2.63	29.5754
2.64	29.6542
2.65	29.7039
2.66	29.7255
2.67	29.72
2.68	29.6881
2.69	29.6309
2.7	29.5492
2.71	29.4437
2.72	29.3152
2.73	29.1645
2.74	28.9921
2.75	28.7988
2.76	28.585
2.77	28.3514
2.78	28.0983
2.79	27.8261
2.8	27.5352
2.81	27.226
2.82	26.8987
2.83	26.5535
2.84	26.1905
2.85	25.81
2.86	25.4119
2.87	24.9964
2.88	24.5636
2.89	24.1132
2.9	23.6455
2.91	23.1603
2.92	22.6576
2.93	22.1373
2.94	21.5994
2.95	21.0438
2.96	20.4707
2.97	19.8799
2.98	19.2718
2.99	18.6463
3	18.0039
3.01	17.345
3.02	16.6701
3.03	15.9799
3.04	15.2754
3.05	14.5577
3.06	13.8283
3.07	13.0889
3.08	12.3414
3.09	11.5884
3.1	10.8325
3.11	10.0768
3.12	9.32501
3.13	8.58093
3.14	7.84888
3.15	7.13345
3.16	6.43951
3.17	5.77209
3.18	5.13625
3.19	4.53702
3.2	3.97915
3.21	3.46711
3.22	3.00491
3.23	2.5963
3.24	2.2452
3.25	1.95695
3.26	1.74102
3.27	1.61416
3.28	1.5957
3.29	1.68725
3.3	1.86839
3.31	2.11736
3.32	2.42018
3.33	2.76806
3.34	3.15447
3.35	3.57354
3.36	4.01958
3.37	4.48686
3.38	4.96968
3.39	5.46247
3.4	5.95989
3.41	6.45694
3.42	6.94903
3.43	7.43202
3.44	7.90227
3.45	8.35661
3.46	8.79239
3.47	9.20737
3.48	9.59978
3.49	9.96821
3.5	10.3116
3.51	10.6292
3.52	10.9206
3.53	11.1855
3.54	11.4238
3.55	11.6356
3.56	11.8212
3.57	11.9809
3.58	12.1151
3.59	12.2242
3.6	12.3087
3.61	12.3693
3.62	12.4064
3.63	12.4206
3.64	12.4125
3.65	12.3826
3.66	12.3314
3.67	12.2596
3.68	12.1677
3.69	12.0561
3.7	11.9254
3.71	11.7762
3.72	11.6088
3.73	11.4237
3.74	11.2216
3.75	11.0028
3.76	10.7679
3.77	10.5174
3.78	10.2518
3.79	9.9718
3.8	9.6779
3.81	9.37077
3.82	9.05112
3.83	8.71973
3.84	8.37742
3.85	8.02514
3.86	7.66389
3.87	7.29481
3.88	6.91916
3.89	6.53834
3.9	6.1539
3.91	5.76757
3.92	5.38126
3.93	4.99707
3.94	4.6173
3.95	4.24443
3.96	3.88111
3.97	3.53012
3.98	3.19427
3.99	2.87634
4	2.57896
