VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	105.227
1.01	102.976
1.02	100.77
1.03	98.608
1.04	96.4894
1.05	94.4131
1.06	92.3781
1.07	90.3832
1.08	88.4276
1.09	86.5102
1.1	84.6298
1.11	82.7856
1.12	80.9763
1.13	79.201
1.14	77.4586
1.15	75.748
1.16	74.0682
1.17	72.418
1.18	70.7965
1.19	69.2025
1.2	67.635
1.21	66.0929
1.22	64.575
1.23	63.0802
1.24	61.6074
1.25	60.1553
1.26	58.7228
1.27	57.3084
1.28	55.9107
1.29	54.528
1.3	53.1583
1.31	51.7993
1.32	50.448
1.33	49.1006
1.34	47.7515
1.35	46.393
1.36	45.0136
1.37	43.5966
1.38	42.1199
1.39	40.5661
1.4	38.9664
1.41	37.4878
1.42	36.3734
1.43	35.5879
1.44	34.8528
1.45	34.0165
1.46	33.0729
1.47	32.0546
1.48	30.9899
1.49	29.8972
1.5	28.788
1.51	27.669
1.52	26.5447
1.53	25.4178
1.54	24.2903
1.55	23.1637
1.56	22.0394
1.57	20.9184
1.58	19.8022
1.59	18.6919
1.6	17.5891
1.61	16.4956
1.62	15.4132
1.63	14.3442
1.64	13.2911
1.65	12.2568
1.66	11.2444
1.67	10.2574
1.68	9.29959
1.69	8.37518
1.7	7.48852
1.71	6.6442
1.72	5.84694
1.73	5.10149
1.74	4.41247
1.75	3.78432
1.76	3.22121
1.77	2.72715
1.78	2.30671
1.79	1.967
1.8	1.72266
1.81	1.60244
1.82	1.63607
1.83	1.8155
1.84	2.10883
1.85	2.49474
1.86	2.9633
1.87	3.50906
1.88	4.12735
1.89	4.8129
1.9	5.55944
1.91	6.3597
1.92	7.20566
1.93	8.08874
1.94	9.00008
1.95	9.93084
1.96	10.8724
1.97	11.8164
1.98	12.7552
1.99	13.6819
2	14.5901
2.01	15.4743
2.02	16.3299
2.03	17.1531
2.04	17.9406
2.05	18.6901
2.06	19.3999
2.07	20.0687
2.08	20.6959
2.09	21.2813
2.1	21.825
2.11	22.3275
2.12	22.7895
2.13	23.2119
2.14	23.5957
2.15	23.942
2.16	24.2521
2.17	24.5272
2.18	24.7683
2.19	24.9767
2.2	25.1533
2.21	25.299
2.22	25.4145
2.23	25.5001
2.24	25.5558
2.25	25.5812
2.26	25.5749
2.27	25.5347
2.28	25.4565
2.29	25.3341
2.3	25.1583
2.31	24.9173
2.32	24.6014
2.33	24.2206
2.34	23.8399
2.35	23.5874
2.36	23.5425
2.37	23.6283
2.38	23.714
2.39	23.7326
2.4	23.6749
2.41	23.5519
2.42	23.3768
2.43	23.1598
2.44	22.9079
2.45	22.6258
2.46	22.3163
2.47	21.9814
2.48	21.6222
2.49	21.2391
2.5	20.8325
2.51	20.4024
2.52	19.9486
2.53	19.471
2.54	18.9691
2.55	18.4429
2.56	17.8919
2.57	17.316
2.58	16.7153
2.59	16.0897
2.6	15.4397
2.61	14.7658
2.62	14.0691
2.63	13.3509
2.64	12.613
2.65	11.8579
2.66	11.0885
2.67	10.3084
2.68	9.52207
2.69	8.73455
2.7	7.95168
2.71	7.17998
2.72	6.42657
2.73	5.69901
2.74	5.00515
2.75	4.35281
2.76	3.74954
2.77	3.20237
2.78	2.71769
2.79	2.3017
2.8	1.96198
2.81	1.71182
2.82	1.57696
2.83	1.5866
2.84	1.73478
2.85	1.98665
2.86	2.31548
2.87	2.70633
2.88	3.14928
2.89	3.63576
2.9	4.15733
2.91	4.70538
2.92	5.27129
2.93	5.84663
2.94	6.42341
2.95	6.9942
2.96	7.55233
2.97	8.09189
2.98	8.6078
2.99	9.09578
3	9.5523
3.01	9.97454
3.02	10.3603
3.03	10.708
3.04	11.0165
3.05	11.2851
3.06	11.5134
3.07	11.7014
3.08	11.8494
3.09	11.9578
3.1	12.0272
3.11	12.0584
3.12	12.0522
3.13	12.0098
3.14	11.9323
3.15	11.8208
3.16	11.6767
3.17	11.5014
3.18	11.2964
3.19	11.0631
3.2	10.8034
3.21	10.5188
3.22	10.2113
3.23	9.8826
3.24	9.53481
3.25	9.16994
3.26	8.79013
3.27	8.39756
3.28	7.99449
3.29	7.58325
3.3	7.16619
3.31	6.74569
3.32	6.32418
3.33	5.90409
3.34	5.48782
3.35	5.07781
3.36	4.67644
3.37	4.28608
3.38	3.90904
3.39	3.54761
3.4	3.20401
3.41	2.88037
3.42	2.57877
3.43	2.30111
3.44	2.04913
3.45	1.82436
3.46	1.6281
3.47	1.46167
3.48	1.3272
3.49	1.22982
3.5	1.18081
3.51	1.18758
3.52	1.23357
3.53	1.2979
3.54	1.37173
3.55	1.45357
3.56	1.54464
3.57	1.64676
3.58	1.76151
3.59	1.88996
3.6	2.03264
3.61	2.18968
3.62	2.36088
3.63	2.54581
3.64	2.74388
3.65	2.95439
3.66	3.17655
3.67	3.40951
3.68	3.6524
3.69	3.90431
3.7	4.16429
3.71	4.43144
3.72	4.70481
3.73	4.98348
3.74	5.26654
3.75	5.55309
3.76	5.84223
3.77	6.13308
3.78	6.42478
3.79	6.71645
3.8	7.00723
3.81	7.29621
3.82	7.58246
3.83	7.865
3.84	8.14273
3.85	8.41443
3.86	8.67869
3.87	8.93396
3.88	9.17866
3.89	9.41174
3.9	9.63382
3.91	9.84887
3.92	10.0647
3.93	10.2894
3.94	10.525
3.95	10.7658
3.96	11.0032
3.97	11.2311
3.98	11.4463
3.99	11.6477
4	11.8354
