VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	139.585
1.01	137.135
1.02	134.714
1.03	132.324
1.04	129.963
1.05	127.634
1.06	125.335
1.07	123.069
1.08	120.834
1.09	118.631
1.1	116.46
1.11	114.321
1.12	112.214
1.13	110.138
1.14	108.094
1.15	106.081
1.16	104.099
1.17	102.147
1.18	100.226
1.19	98.334
1.2	96.4711
1.21	94.6367
1.22	92.8301
1.23	91.0507
1.24	89.2976
1.25	87.5701
1.26	85.8672
1.27	84.1881
1.28	82.5315
1.29	80.8963
1.3	79.2812
1.31	77.6844
1.32	76.1042
1.33	74.5385
1.34	72.9846
1.35	71.4395
1.36	69.8991
1.37	68.3586
1.38	66.8116
1.39	65.2496
1.4	63.6614
1.41	62.0313
1.42	60.3376
1.43	58.5492
1.44	56.6215
1.45	54.4902
1.46	52.0653
1.47	49.2352
1.48	45.9087
1.49	42.1769
1.5	38.6568
1.51	36.616
1.52	36.8791
1.53	38.6232
1.54	40.4478
1.55	41.6774
1.56	42.2629
1.57	42.3552
1.58	42.108
1.59	41.6346
1.6	41.0109
1.61	40.2866
1.62	39.4944
1.63	38.6559
1.64	37.7856
1.65	36.8936
1.66	35.9868
1.67	35.0701
1.68	34.1469
1.69	33.2198
1.7	32.2906
1.71	31.3606
1.72	30.4309
1.73	29.502
1.74	28.5746
1.75	27.6491
1.76	26.7258
1.77	25.8051
1.78	24.8872
1.79	23.9723
1.8	23.0608
1.81	22.1529
1.82	21.2489
1.83	20.3493
1.84	19.4544
1.85	18.5649
1.86	17.6812
1.87	16.8041
1.88	15.9343
1.89	15.0728
1.9	14.2207
1.91	13.379
1.92	12.5491
1.93	11.7324
1.94	10.9305
1.95	10.1452
1.96	9.37844
1.97	8.6322
1.98	7.90871
1.99	7.2103
2	6.53942
2.01	5.8986
2.02	5.29041
2.03	4.71746
2.04	4.18232
2.05	3.68752
2.06	3.23555
2.07	2.82894
2.08	2.47055
2.09	2.1642
2.1	1.91614
2.11	1.73747
2.12	1.64562
2.13	1.65686
2.14	1.77063
2.15	1.97147
2.16	2.24458
2.17	2.58126
2.18	2.97686
2.19	3.42842
2.2	3.93333
2.21	4.48865
2.22	5.09092
2.23	5.73605
2.24	6.41938
2.25	7.13576
2.26	7.87965
2.27	8.64527
2.28	9.42668
2.29	10.218
2.3	11.0133
2.31	11.8069
2.32	12.5935
2.33	13.3681
2.34	14.126
2.35	14.8629
2.36	15.5751
2.37	16.2593
2.38	16.9125
2.39	17.5323
2.4	18.1167
2.41	18.6639
2.42	19.1726
2.43	19.6418
2.44	20.0705
2.45	20.4582
2.46	20.8043
2.47	21.1084
2.48	21.3699
2.49	21.5884
2.5	21.7632
2.51	21.8933
2.52	21.9773
2.53	22.0131
2.54	21.9979
2.55	21.9275
2.56	21.7962
2.57	21.5961
2.58	21.3161
2.59	20.9421
2.6	20.4572
2.61	19.846
2.62	19.1072
2.63	18.2815
2.64	17.4901
2.65	16.933
2.66	16.7708
2.67	16.9648
2.68	17.3095
2.69	17.6101
2.7	17.7734
2.71	17.7833
2.72	17.6571
2.73	17.419
2.74	17.0904
2.75	16.6882
2.76	16.2251
2.77	15.7104
2.78	15.1514
2.79	14.5537
2.8	13.9222
2.81	13.261
2.82	12.5744
2.83	11.8662
2.84	11.1406
2.85	10.4021
2.86	9.65545
2.87	8.90577
2.88	8.1586
2.89	7.41982
2.9	6.6956
2.91	5.99233
2.92	5.31642
2.93	4.67417
2.94	4.07152
2.95	3.51381
2.96	3.00558
2.97	2.55036
2.98	2.15067
2.99	1.80864
3	1.52832
3.01	1.32586
3.02	1.26019
3.03	1.37447
3.04	1.59541
3.05	1.87779
3.06	2.20872
3.07	2.58267
3.08	2.99532
3.09	3.4421
3.1	3.91803
3.11	4.41776
3.12	4.93576
3.13	5.46651
3.14	6.00466
3.15	6.54514
3.16	7.08325
3.17	7.61472
3.18	8.13576
3.19	8.643
3.2	9.13356
3.21	9.60499
3.22	10.0552
3.23	10.4825
3.24	10.8856
3.25	11.2633
3.26	11.6149
3.27	11.9396
3.28	12.2371
3.29	12.5071
3.3	12.7494
3.31	12.9639
3.32	13.1506
3.33	13.3097
3.34	13.4411
3.35	13.5452
3.36	13.622
3.37	13.6718
3.38	13.6947
3.39	13.691
3.4	13.6609
3.41	13.6048
3.42	13.5228
3.43	13.4152
3.44	13.2824
3.45	13.1247
3.46	12.9425
3.47	12.7362
3.48	12.5064
3.49	12.2537
3.5	11.9786
3.51	11.682
3.52	11.3646
3.53	11.0276
3.54	10.672
3.55	10.2991
3.56	9.91037
3.57	9.50731
3.58	9.09174
3.59	8.66558
3.6	8.23094
3.61	7.79012
3.62	7.34554
3.63	6.89979
3.64	6.45558
3.65	6.01572
3.66	5.58307
3.67	5.16053
3.68	4.75097
3.69	4.35719
3.7	3.9819
3.71	3.62767
3.72	3.29687
3.73	2.99173
3.74	2.71434
3.75	2.46675
3.76	2.25114
3.77	2.07009
3.78	1.92676
3.79	1.8249
3.8	1.76805
3.81	1.7578
3.82	1.79207
3.83	1.86529
3.84	1.97017
3.85	2.09949
3.86	2.24682
3.87	2.40653
3.88	2.57359
3.89	2.74332
3.9	2.91132
3.91	3.07339
3.92	3.22555
3.93	3.3641
3.94	3.48567
3.95	3.58728
3.96	3.66643
3.97	3.72114
3.98	3.75005
3.99	3.7524
4	3.7281
