DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-10.2696
-88	-10.1101
-86	-9.66442
-84	-9.01197
-82	-8.2401
-80	-7.41861
-78	-6.59358
-76	-5.79162
-74	-5.02635
-72	-4.30357
-70	-3.62466
-68	-2.9887
-66	-2.3936
-64	-1.83683
-62	-1.31573
-60	-0.827721
-58	-0.370386
-56	0.0584876
-54	0.460903
-52	0.83866
-50	1.19337
-48	1.52646
-46	1.83922
-44	2.13278
-42	2.40816
-40	2.66627
-38	2.9079
-36	3.13379
-34	3.34457
-32	3.54081
-30	3.72302
-28	3.89166
-26	4.04712
-24	4.18978
-22	4.31994
-20	4.43789
-18	4.54388
-16	4.63811
-14	4.72078
-12	4.79205
-10	4.85204
-8	4.90088
-6	4.93865
-4	4.96541
-2	4.98122
0	4.9861
2	4.98005
4	4.96306
6	4.9351
8	4.89611
10	4.84601
12	4.78471
14	4.71208
16	4.62798
18	4.53223
20	4.42464
22	4.30497
24	4.17296
26	4.02831
28	3.87068
30	3.69968
32	3.51489
34	3.31582
36	3.10191
38	2.87254
40	2.62703
42	2.36459
44	2.08432
46	1.78524
48	1.46621
50	1.12594
52	0.762985
54	0.375684
56	-0.0378509
58	-0.479773
60	-0.952542
62	-1.45896
64	-2.00222
66	-2.58593
68	-3.21411
70	-3.89115
72	-4.62161
74	-5.40975
76	-6.25856
78	-7.16771
80	-8.12952
82	-9.12153
84	-10.0943
86	-10.9563
88	-11.5716
90	-11.798
