DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-11.6905
-88	-11.4711
-86	-10.8734
-84	-10.0323
-82	-9.07909
-80	-8.10326
-78	-7.15434
-76	-6.25541
-74	-5.41481
-72	-4.63343
-70	-3.90867
-68	-3.23657
-66	-2.6128
-64	-2.0331
-62	-1.49357
-60	-0.990668
-58	-0.521263
-56	-0.0825881
-54	0.327791
-52	0.712011
-50	1.07195
-48	1.40925
-46	1.72538
-44	2.02162
-42	2.2991
-40	2.55882
-38	2.80168
-36	3.02847
-34	3.23989
-32	3.43657
-30	3.61907
-28	3.78788
-26	3.94344
-24	4.08615
-22	4.21636
-20	4.33436
-18	4.44044
-16	4.53482
-14	4.61773
-12	4.68933
-10	4.74977
-8	4.79919
-6	4.83768
-4	4.86533
-2	4.88219
0	4.8883
2	4.88367
4	4.86831
6	4.84217
8	4.80523
10	4.75741
12	4.69861
14	4.62873
16	4.54763
18	4.45514
20	4.35108
22	4.23522
24	4.10732
26	3.96709
28	3.81421
30	3.64833
32	3.46902
34	3.27585
36	3.06829
38	2.84578
40	2.60768
42	2.35328
44	2.08179
46	1.79231
48	1.48385
50	1.1553
52	0.805416
54	0.432815
56	0.0359526
58	-0.386883
60	-0.837582
62	-1.31821
64	-1.83098
66	-2.37823
68	-2.96225
70	-3.58515
72	-4.2484
74	-4.9522
76	-5.6942
78	-6.46759
80	-7.25784
82	-8.03816
84	-8.76428
86	-9.37182
88	-9.78305
90	-9.92947
