        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.04509869
                   1.003                    -0.045561716
                   1.006                    -0.046205762
               1.0089999                       -0.047029
                   1.012                    -0.048024973
                   1.015                    -0.049190504
                   1.018                    -0.050517962
                   1.021                    -0.052003371
                   1.024                    -0.053640149
                   1.027                    -0.055421223
                    1.03                    -0.057340361
                   1.033                    -0.059390432
                   1.036                    -0.061564573
                   1.039                    -0.063854281
               1.0420001                    -0.066253045
                   1.045                    -0.068751754
                   1.048                    -0.071342536
                   1.051                    -0.074017729
                   1.054                    -0.076768692
                   1.057                    -0.079586705
               1.0599999                    -0.082464338
                   1.063                    -0.085391708
                   1.066                      -0.0883609
                   1.069                    -0.091362138
                   1.072                    -0.094389099
                   1.075                    -0.097431611
               1.0779999                     -0.10048166
                   1.081                     -0.10353157
                   1.084                     -0.10657187
                   1.087                     -0.10959571
                    1.09                     -0.11259391
               1.0930001                     -0.11555945
                   1.096                     -0.11848577
                   1.099                     -0.12136411
                   1.102                     -0.12418815
                   1.105                     -0.12695155
                   1.108                      -0.1296465
               1.1109999                     -0.13226815
                   1.114                     -0.13480966
                   1.117                     -0.13726534
                    1.12                     -0.13963106
                   1.123                     -0.14190154
                   1.126                     -0.14407128
               1.1289999                     -0.14613768
                   1.132                      -0.1480955
                   1.135                     -0.14994212
                   1.138                     -0.15167509
                   1.141                     -0.15328999
               1.1440001                     -0.15478649
                   1.147                     -0.15616126
                    1.15                     -0.15741437
                   1.153                     -0.15854372
                   1.156                     -0.15954902
                   1.159                     -0.16042964
               1.1619999                     -0.16118626
                   1.165                     -0.16181915
                   1.168                     -0.16232921
                   1.171                     -0.16271833
                   1.174                      -0.1629868
                   1.177                     -0.16313758
               1.1799999                     -0.16317338
                   1.183                     -0.16309576
                   1.186                     -0.16290806
                   1.189                     -0.16261343
                   1.192                     -0.16221629
               1.1950001                     -0.16171908
                   1.198                     -0.16112747
                   1.201                     -0.16044413
                   1.204                     -0.15967454
                   1.207                       -0.158823
                    1.21                     -0.15789467
               1.2130001                     -0.15689461
                   1.216                     -0.15582849
                   1.219                     -0.15470098
                   1.222                     -0.15351808
                   1.225                     -0.15228488
                   1.228                     -0.15100749
               1.2309999                     -0.14969126
                   1.234                     -0.14834175
                   1.237                     -0.14696627
                    1.24                     -0.14556861
                   1.243                     -0.14415657
               1.2460001                     -0.14273436
                   1.249                     -0.14130815
                   1.252                     -0.13988297
                   1.255                     -0.13846628
                   1.258                     -0.13706191
                   1.261                     -0.13567621
               1.2640001                     -0.13431373
                   1.267                     -0.13297997
                    1.27                     -0.13168017
                   1.273                     -0.13041933
                   1.276                      -0.1292008
                   1.279                     -0.12803116
               1.2819999                     -0.12691259
                   1.285                     -0.12585095
                   1.288                     -0.12484938
                   1.291                      -0.1239118
                   1.294                     -0.12304128
               1.2970001                     -0.12224219
                     1.3                     -0.12151568
                   1.303                     -0.12086609
                   1.306                     -0.12029482
                   1.309                      -0.1198061
                   1.312                     -0.11939915
