        Frequency / GHz                VSWR1/abs,linear
----------------------------------------------------------------------
                       1                       385.19563
                   1.003                       381.28105
                   1.006                       375.96654
               1.0089999                       369.38531
                   1.012                        361.7248
                   1.015                       353.15405
                   1.018                       343.87429
                   1.021                       334.05202
                   1.024                       323.85881
                   1.027                       313.45101
                    1.03                       302.96011
                   1.033                       292.50245
                   1.036                       282.17287
                   1.039                        272.0547
               1.0420001                       262.20476
                   1.045                        252.6753
                   1.048                       243.49957
                   1.051                       234.69897
                   1.054                       226.28876
                   1.057                       218.27642
               1.0599999                       210.65966
                   1.063                       203.43801
                   1.066                       196.60199
                   1.069                       190.14375
                   1.072                       184.04615
                   1.075                       178.29903
               1.0779999                         172.887
                   1.081                       167.79409
                   1.084                       163.00734
                   1.087                       158.50994
                    1.09                       154.28918
               1.0930001                       150.32986
                   1.096                       146.61717
                   1.099                       143.14003
                   1.102                       139.88512
                   1.105                        136.8403
                   1.108                       133.99592
               1.1109999                       131.34012
                   1.114                       128.86412
                   1.117                       126.55883
                    1.12                       124.41467
                   1.123                       122.42408
                   1.126                       120.58043
               1.1289999                       118.87549
                   1.132                       117.30404
                   1.135                       115.85945
                   1.138                       114.53575
                   1.141                       113.32918
               1.1440001                       112.23356
                   1.147                       111.24557
                    1.15                       110.36003
                   1.153                       109.57395
                   1.156                       108.88358
                   1.159                       108.28593
               1.1619999                       107.77766
                   1.165                       107.35615
                   1.168                       107.01885
                   1.171                       106.76294
                   1.174                       106.58709
                   1.177                       106.48858
               1.1799999                       106.46522
                   1.183                       106.51589
                   1.186                       106.63861
                   1.189                       106.83181
                   1.192                       107.09334
               1.1950001                       107.42258
                   1.198                       107.81698
                   1.201                       108.27616
                   1.204                       108.79799
                   1.207                       109.38128
                    1.21                       110.02435
               1.2130001                       110.72561
                   1.216                       111.48311
                   1.219                        112.2956
                   1.222                       113.16082
                   1.225                       114.07715
                   1.228                       115.04209
               1.2309999                        116.0536
                   1.234                       117.10932
                   1.237                       118.20531
                    1.24                       119.34019
                   1.243                       120.50909
               1.2460001                        121.7098
                   1.249                       122.93815
                   1.252                       124.19064
                   1.255                       125.46121
                   1.258                       126.74666
                   1.261                       128.04111
               1.2640001                        129.3399
                   1.267                       130.63711
                    1.27                       131.92656
                   1.273                       133.20192
                   1.276                       134.45815
                   1.279                       135.68645
               1.2819999                       136.88231
                   1.285                       138.03697
                   1.288                       139.14429
                   1.291                        140.1971
                   1.294                       141.18896
               1.2970001                       142.11187
                     1.3                       142.96149
                   1.303                        143.7298
                   1.306                       144.41234
                   1.309                       145.00142
                   1.312                       145.49562
               1.3150001                       145.88778
                   1.318                       146.17633
                   1.321                       146.35684
                   1.324                       146.42895
                   1.327                        146.3908
                    1.33                       146.24119
               1.3329999                       145.98051
                   1.336                       145.61173
                   1.339                       145.13481
                   1.342                       144.55312
                   1.345                       143.87034
                   1.348                       143.09093
                   1.351                       142.21792
                   1.354                        141.2584
                   1.357                       140.21643
                    1.36                       139.09934
                   1.363                        137.9117
               1.3660001                       136.66148
                   1.369                       135.35384
                   1.372                       133.99692
                   1.375                       132.59592
                   1.378                         131.158
                   1.381                       129.69006
               1.3839999                       128.19638
                   1.387                       126.68396
                    1.39                       125.15823
                   1.393                       123.62491
                   1.396                       122.08949
                   1.399                       120.55542
                   1.402                       119.02788
                   1.405                       117.51083
                   1.408                       116.00768
                   1.411                       114.52219
                   1.414                       113.05738
               1.4170001                       111.61514
                    1.42                       110.19926
                   1.423                       108.81156
                   1.426                       107.45295
                   1.429                       106.12599
                   1.432                        104.8317
               1.4349999                       103.57168
                   1.438                       102.34597
                   1.441                       101.15668
                   1.444                       100.00345
                   1.447                       98.886606
                    1.45                       97.807307
               1.4529999                       96.764548
                   1.456                        95.75965
                   1.459                       94.792023
                   1.462                       93.860848
                   1.465                       92.966684
               1.4680001                        92.10946
                   1.471                       91.288113
                   1.474                       90.502306
                   1.477                       89.751796
                    1.48                       89.036053
                   1.483                       88.354525
               1.4859999                       87.706267
                   1.489                       87.091146
                   1.492                       86.507937
                   1.495                       85.956665
                   1.498                        85.43555
                   1.501                       84.944574
               1.5039999                       84.483298
                   1.507                       84.050072
                    1.51                        83.64464
                   1.513                       83.266182
                   1.516                       82.913757
               1.5190001                       82.586718
                   1.522                       82.283871
                   1.525                       82.004933
                   1.528                       81.748262
                   1.531                       81.513497
                   1.534                       81.299757
               1.5369999                       81.105816
                    1.54                       80.931107
                   1.543                       80.774136
                   1.546                       80.634827
                   1.549                       80.511186
                   1.552                        80.40309
               1.5549999                       80.308955
                   1.558                       80.228145
                   1.561                       80.159392
                   1.564                       80.101457
                   1.567                       80.053589
               1.5700001                        80.01499
                   1.573                       79.983876
                   1.576                       79.959504
                   1.579                       79.940534
                   1.582                       79.926381
                   1.585                       79.915394
               1.5880001                       79.906542
                   1.591                       79.898969
                   1.594                        79.89086
                   1.597                        79.88187
                     1.6                       79.870458
                   1.603                       79.855647
               1.6059999                       79.836431
                   1.609                       79.811252
                   1.612                       79.779434
                   1.615                       79.740038
                   1.618                        79.69182
               1.6210001                       79.633926
                   1.624                       79.565537
                   1.627                       79.485774
                    1.63                       79.393601
                   1.633                       79.288613
                   1.636                       79.169862
               1.6390001                       79.036683
                   1.642                       78.888726
                   1.645                       78.725215
                   1.648                       78.546066
                   1.651                        78.35072
                   1.654                       78.138866
               1.6569999                       77.910297
                    1.66                        77.66525
                   1.663                       77.403338
                   1.666                       77.124802
                   1.669                       76.829545
               1.6720001                       76.518044
                   1.675                       76.190391
                   1.678                       75.846927
                   1.681                       75.488085
                   1.684                       75.114585
                   1.687                       74.726638
               1.6900001                       74.325129
                   1.693                         73.9105
                   1.696                        73.48345
                   1.699                       73.044817
                   1.702                       72.595251
                   1.705                        72.13566
               1.7079999                        71.66667
                   1.711                       71.189444
                   1.714                       70.704706
                   1.717                       70.213202
                    1.72                       69.715773
                   1.723                       69.213519
                   1.726                       68.707323
                   1.729                       68.197717
                   1.732                       67.685737
                   1.735                       67.172247
                   1.738                       66.657983
               1.7410001                       66.143881
                   1.744                       65.630338
                   1.747                       65.118549
                    1.75                       64.608938
                   1.753                       64.102071
                   1.756                       63.598921
               1.7589999                       63.099918
                   1.762                       62.605502
                   1.765                       62.116433
                   1.768                       61.633237
                   1.771                       61.156247
                   1.774                       60.685976
                   1.777                       60.222716
                    1.78                       59.766853
                   1.783                        59.31886
                   1.786                       58.878903
                   1.789                       58.447505
               1.7920001                       58.024621
                   1.795                       57.610605
                   1.798                        57.20566
                   1.801                       56.809753
                   1.804                       56.423226
                   1.807                       56.046325
               1.8099999                       55.678584
                   1.813                       55.320645
                   1.816                       54.972283
                   1.819                       54.633513
                   1.822                       54.304475
                   1.825                       53.985015
               1.8279999                       53.674976
                   1.831                       53.374533
                   1.834                       53.083596
                   1.837                       52.801785
                    1.84                       52.529391
               1.8430001                       52.266099
                   1.846                       52.011702
                   1.849                       51.766165
                   1.852                       51.529238
                   1.855                       51.300945
                   1.858                       51.080851
               1.8609999                        50.86885
                   1.864                       50.664827
                   1.867                        50.46847
                    1.87                       50.279629
                   1.873                       50.097905
                   1.876                       49.923362
               1.8789999                       49.755555
                   1.882                       49.594152
                   1.885                       49.439038
                   1.888                       49.289914
                   1.891                       49.146426
               1.8940001                        49.00845
                   1.897                       48.875596
                     1.9                       48.747533
                   1.903                        48.62396
                   1.906                       48.504681
                   1.909                       48.389402
               1.9119999                       48.277723
                   1.915                       48.169285
                   1.918                       48.064029
                   1.921                       47.961442
                   1.924                       47.861178
                   1.927                       47.763048
               1.9299999                       47.666716
                   1.933                        47.57183
                   1.936                       47.478088
                   1.939                       47.385192
                   1.942                        47.29287
               1.9450001                       47.200719
                   1.948                       47.108591
                   1.951                       47.016284
                   1.954                       46.923201
                   1.957                       46.829374
                    1.96                       46.734233
               1.9630001                       46.637869
                   1.966                        46.53976
                   1.969                       46.439811
                   1.972                       46.337821
                   1.975                       46.233535
                   1.978                       46.126693
               1.9809999                       46.017232
                   1.984                       45.904853
                   1.987                       45.789576
                    1.99                       45.671079
                   1.993                       45.549226
               1.9960001                       45.424167
                   1.999                       45.295459
               2.0020001                       45.163362
               2.0050001                       45.027573
               2.0079999                       44.888144
               2.0109999                        44.74506
               2.0139999                       44.598346
                   2.017                       44.447748
                    2.02                       44.293729
                   2.023                       44.135941
                   2.026                       43.974679
                   2.029                       43.809903
               2.0320001                       43.641608
               2.0350001                       43.470077
               2.0380001                       43.295331
               2.0409999                       43.117468
               2.0439999                       42.936636
               2.0469999                       42.753074
                    2.05                       42.566807
                   2.053                       42.378013
                   2.056                        42.18695
                   2.059                       41.993734
                   2.062                       41.798609
               2.0650001                       41.601608
               2.0680001                       41.403099
               2.0710001                       41.203183
               2.0739999                       41.002209
               2.0769999                       40.800216
               2.0799999                        40.59743
               2.0829999                       40.394096
                   2.086                       40.190416
                   2.089                       39.986618
                   2.092                       39.782913
                   2.095                       39.579389
                   2.098                       39.376369
               2.1010001                       39.174029
               2.1040001                         38.9725
               2.1070001                       38.771963
               2.1099999                       38.572574
               2.1129999                       38.374637
               2.1159999                       38.178147
                   2.119                       37.983404
                   2.122                       37.790497
                   2.125                       37.599546
                   2.128                       37.410724
                   2.131                       37.224158
               2.1340001                        37.03996
               2.1370001                       36.858222
               2.1400001                       36.679053
               2.1429999                       36.502574
               2.1459999                       36.328852
               2.1489999                       36.157999
                   2.152                       35.990068
                   2.155                       35.825151
                   2.158                       35.663209
                   2.161                       35.504376
                   2.164                       35.348671
               2.1670001                       35.196102
               2.1700001                       35.046731
               2.1730001                        34.90055
               2.1760001                       34.757574
               2.1789999                       34.617792
               2.1819999                       34.481234
               2.1849999                       34.347827
                   2.188                       34.217614
                   2.191                       34.090552
                   2.194                        33.96654
                   2.197                       33.845561
                     2.2                       33.727635
               2.2030001                        33.61272
               2.2060001                       33.500619
               2.2090001                       33.391378
               2.2119999                       33.284901
               2.2149999                       33.181077
               2.2179999                       33.079956
                   2.221                       32.981264
                   2.224                       32.884993
                   2.227                       32.791074
                    2.23                       32.699373
                   2.233                       32.609793
               2.2360001                       32.522262
               2.2390001                       32.436576
               2.2420001                       32.352672
               2.2449999                       32.270418
               2.2479999                       32.189738
               2.2509999                       32.110429
               2.2539999                       32.032413
                   2.257                       31.955587
                    2.26                       31.879721
                   2.263                       31.804774
                   2.266                       31.730556
               2.2690001                       31.656922
               2.2720001                       31.583775
               2.2750001                       31.510969
               2.2780001                       31.438394
               2.2809999                        31.36585
               2.2839999                       31.293281
               2.2869999                       31.220487
                    2.29                       31.147338
                   2.293                       31.073721
                   2.296                       30.999511
                   2.299                       30.924587
                   2.302                       30.848836
               2.3050001                       30.772095
               2.3080001                       30.694328
               2.3110001                       30.615385
               2.3139999                       30.535105
               2.3169999                       30.453468
               2.3199999                       30.370333
                   2.323                       30.285673
                   2.326                       30.199303
                   2.329                       30.111264
                   2.332                       30.021454
                   2.335                       29.929756
               2.3380001                       29.836124
               2.3410001                       29.740573
               2.3440001                       29.642994
               2.3469999                       29.543438
               2.3499999                       29.441796
               2.3529999                       29.338065
               2.3559999                       29.232291
                   2.359                       29.124441
                   2.362                       29.014499
                   2.365                       28.902512
                   2.368                       28.788476
               2.3710001                       28.672433
               2.3740001                       28.554358
               2.3770001                       28.434395
               2.3800001                       28.312557
               2.3829999                       28.188852
               2.3859999                       28.063389
               2.3889999                       27.936227
                   2.392                       27.807438
                   2.395                       27.677109
                   2.398                       27.545262
                   2.401                       27.412008
                   2.404                       27.277514
               2.4070001                       27.141803
               2.4100001                       27.004961
               2.4130001                       26.867119
               2.4159999                       26.728388
               2.4189999                       26.588813
               2.4219999                       26.448556
                   2.425                       26.307686
                   2.428                       26.166342
                   2.431                       26.024608
                   2.434                       25.882594
                   2.437                       25.740384
               2.4400001                       25.598127
               2.4430001                       25.455893
               2.4460001                       25.313798
               2.4489999                       25.171901
               2.4519999                       25.030386
               2.4549999                       24.889243
               2.4579999                        24.74864
                   2.461                       24.608621
                   2.464                       24.469303
                   2.467                       24.330718
                    2.47                       24.193012
                   2.473                       24.056248
               2.4760001                        23.92043
               2.4790001                       23.785671
               2.4820001                       23.652057
               2.4849999                        23.51962
               2.4879999                       23.388388
               2.4909999                       23.258461
                   2.494                       23.129859
                   2.497                       23.002623
                     2.5                       22.876808
                   2.503                       22.752414
                   2.506                       22.629463
               2.5090001                       22.508022
               2.5120001                       22.388107
               2.5150001                       22.269686
               2.5179999                       22.152794
               2.5209999                       22.037433
               2.5239999                       21.923622
                   2.527                       21.811333
                    2.53                       21.700586
                   2.533                       21.591373
                   2.536                       21.483641
                   2.539                         21.3774
               2.5420001                       21.272632
               2.5450001                       21.169293
               2.5480001                       21.067369
               2.5510001                       20.966822
               2.5539999                       20.867615
               2.5569999                       20.769702
               2.5599999                       20.673065
                   2.563                       20.577637
                   2.566                        20.48338
                   2.569                       20.390247
                   2.572                       20.298167
                   2.575                       20.207112
               2.5780001                       20.117018
               2.5810001                       20.027799
               2.5840001                       19.939426
               2.5869999                       19.851833
               2.5899999                       19.764931
               2.5929999                       19.678688
                   2.596                       19.593024
                   2.599                       19.507851
                   2.602                       19.423132
                   2.605                       19.338775
                   2.608                       19.254726
               2.6110001                       19.170911
               2.6140001                       19.087246
               2.6170001                         19.0037
               2.6199999                       18.920161
               2.6229999                       18.836591
               2.6259999                       18.752885
               2.6289999                       18.669022
                   2.632                       18.584915
                   2.635                       18.500503
                   2.638                       18.415714
                   2.641                       18.330505
               2.6440001                       18.244809
               2.6470001                       18.158554
               2.6500001                       18.071724
               2.6530001                       17.984236
               2.6559999                       17.896059
               2.6589999                       17.807147
               2.6619999                       17.717449
                   2.665                       17.626936
                   2.668                       17.535557
                   2.671                       17.443307
                   2.674                        17.35014
                   2.677                       17.256023
               2.6800001                        17.16096
               2.6830001                        17.06492
               2.6860001                        16.96789
               2.6889999                        16.86987
               2.6919999                       16.770839
               2.6949999                       16.670823
                   2.698                       16.569794
                   2.701                       16.467781
                   2.704                       16.364798
                   2.707                       16.260847
                    2.71                       16.155942
               2.7130001                       16.050127
               2.7160001                       15.943401
               2.7190001                       15.835812
               2.7219999                       15.727393
               2.7249999                       15.618164
               2.7279999                        15.50818
               2.7309999                       15.397467
                   2.734                       15.286076
                   2.737                       15.174049
                    2.74                       15.061441
                   2.743                       14.948289
               2.7460001                       14.834653
               2.7490001                       14.720575
               2.7520001                       14.606132
               2.7550001                       14.491357
               2.7579999                       14.376302
               2.7609999                       14.261037
               2.7639999                       14.145613
                   2.767                       14.030089
                    2.77                       13.914514
                   2.773                       13.798943
                   2.776                       13.683443
                   2.779                       13.568063
               2.7820001                       13.452846
               2.7850001                       13.337862
               2.7880001                       13.223145
               2.7909999                       13.108756
               2.7939999                        12.99475
               2.7969999                       12.881162
                     2.8                       12.768038
                   2.803                       12.655435
                   2.806                       12.543373
                   2.809                        12.43191
                   2.812                       12.321086
               2.8150001                       12.210916
               2.8180001                       12.101449
               2.8210001                       11.992713
               2.8239999                       11.884731
               2.8269999                       11.777544
               2.8299999                       11.671164
               2.8329999                       11.565612
                   2.836                       11.460916
                   2.839                       11.357089
                   2.842                       11.254146
                   2.845                       11.152097
                   2.848                       11.050958
               2.8510001                       10.950728
               2.8540001                       10.851425
               2.8570001                        10.75305
               2.8599999                       10.655597
               2.8629999                        10.55907
               2.8659999                       10.463471
                   2.869                       10.368783
                   2.872                        10.27502
                   2.875                       10.182156
                   2.878                       10.090191
                   2.881                       9.9991101
               2.8840001                       9.9088961
               2.8870001                       9.8195514
               2.8900001                        9.731039
               2.8929999                       9.6433536
               2.8959999                       9.5564749
               2.8989999                        9.470382
                   2.902                       9.3850555
                   2.905                       9.3004718
                   2.908                       9.2166054
                   2.911                       9.1334393
                   2.914                       9.0509483
               2.9170001                       8.9691075
               2.9200001                       8.8878855
               2.9230001                       8.8072633
               2.9260001                       8.7272109
               2.9289999                       8.6477014
               2.9319999                       8.5687096
               2.9349999                       8.4902077
                   2.938                       8.4121695
                   2.941                       8.3345704
                   2.944                       8.2573799
