        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.20950535
                   1.003                     -0.21265539
                   1.006                     -0.21419797
               1.0089999                     -0.21414374
                   1.012                     -0.21253095
                   1.015                     -0.20942603
                   1.018                     -0.20492074
                   1.021                     -0.19912993
                   1.024                     -0.19218945
                   1.027                     -0.18425206
                    1.03                     -0.17548505
                   1.033                     -0.16606848
                   1.036                     -0.15618666
                   1.039                     -0.14603088
               1.0420001                     -0.13579083
                   1.045                     -0.12565395
                   1.048                     -0.11580228
                   1.051                     -0.10640851
                   1.054                    -0.097634417
                   1.057                    -0.089629038
               1.0599999                     -0.08252366
                   1.063                    -0.076433655
                   1.066                    -0.071455731
                   1.069                    -0.067667186
                   1.072                    -0.065124342
                   1.075                    -0.063862881
               1.0779999                    -0.063897785
                   1.081                    -0.065222882
                   1.084                    -0.067812402
                   1.087                    -0.071619191
                    1.09                     -0.07658012
               1.0930001                    -0.082610435
                   1.096                    -0.089613351
                   1.099                    -0.097474794
                   1.102                      -0.1060694
                   1.105                     -0.11526014
                   1.108                     -0.12490312
               1.1109999                     -0.13484554
                   1.114                     -0.14493448
                   1.117                     -0.15501238
                    1.12                     -0.16492726
                   1.123                     -0.17452673
                   1.126                     -0.18366998
               1.1289999                     -0.19222005
                   1.132                     -0.20005756
                   1.135                     -0.20707049
                   1.138                     -0.21316739
                   1.141                     -0.21827155
               1.1440001                     -0.22232404
                   1.147                     -0.22528767
                    1.15                      -0.2271425
                   1.153                     -0.22788916
                   1.156                     -0.22754883
                   1.159                     -0.22616182
               1.1619999                     -0.22378511
                   1.165                     -0.22049146
                   1.168                     -0.21637198
                   1.171                     -0.21152932
                   1.174                      -0.2060751
                   1.177                     -0.20013167
               1.1799999                     -0.19382809
                   1.183                      -0.1872967
                   1.186                     -0.18067136
                   1.189                     -0.17408581
                   1.192                      -0.1676709
               1.1950001                      -0.1615509
                   1.198                     -0.15584625
                   1.201                     -0.15066595
                   1.204                     -0.14610875
                   1.207                     -0.14226436
                    1.21                     -0.13920602
               1.2130001                     -0.13699608
                   1.216                     -0.13568059
                   1.219                     -0.13529124
                   1.222                     -0.13584524
                   1.225                     -0.13734397
                   1.228                     -0.13977281
               1.2309999                     -0.14310422
                   1.234                      -0.1472953
                   1.237                     -0.15229064
                    1.24                     -0.15802192
                   1.243                     -0.16441019
               1.2460001                     -0.17136712
                   1.249                     -0.17879492
                   1.252                     -0.18658902
                   1.255                     -0.19464196
                   1.258                     -0.20284068
                   1.261                     -0.21107186
               1.2640001                     -0.21922275
                   1.267                     -0.22718244
                    1.27                      -0.2348455
                   1.273                     -0.24211167
                   1.276                     -0.24888909
                   1.279                     -0.25509399
               1.2819999                     -0.26065637
                   1.285                     -0.26551438
                   1.288                     -0.26962317
                   1.291                     -0.27294797
                   1.294                     -0.27547129
               1.2970001                     -0.27718854
                     1.3                     -0.27810912
                   1.303                      -0.2782579
                   1.306                     -0.27767213
                   1.309                      -0.2764018
                   1.312                     -0.27451048
               1.3150001                     -0.27206766
                   1.318                     -0.26915601
                   1.321                       -0.265864
                   1.324                      -0.2622848
                   1.327                     -0.25851682
                    1.33                      -0.2546594
               1.3329999                     -0.25081443
                   1.336                     -0.24707965
                   1.339                     -0.24355294
                   1.342                     -0.24032595
                   1.345                     -0.23748488
                   1.348                     -0.23510966
                   1.351                     -0.23327134
                   1.354                     -0.23203055
                   1.357                     -0.23143996
                    1.36                      -0.2315391
                   1.363                     -0.23235964
               1.3660001                     -0.23391726
                   1.369                     -0.23621986
                   1.372                     -0.23926228
                   1.375                     -0.24302567
                   1.378                     -0.24748418
                   1.381                     -0.25259801
               1.3839999                     -0.25831898
                   1.387                     -0.26459075
                    1.39                     -0.27134605
                   1.393                     -0.27851321
                   1.396                      -0.2860138
                   1.399                     -0.29376494
                   1.402                     -0.30168117
                   1.405                     -0.30967367
                   1.408                     -0.31765603
                   1.411                     -0.32554074
                   1.414                     -0.33324433
               1.4170001                     -0.34068618
                    1.42                     -0.34779366
                   1.423                     -0.35449802
                   1.426                     -0.36074002
                   1.429                      -0.3664691
                   1.432                     -0.37164457
               1.4349999                     -0.37623631
                   1.438                     -0.38022395
                   1.441                      -0.3836007
                   1.444                     -0.38636819
                   1.447                     -0.38854251
                    1.45                     -0.39014696
               1.4529999                     -0.39121852
                   1.456                     -0.39180113
                   1.459                      -0.3919491
                   1.462                      -0.3917245
                   1.465                     -0.39119439
               1.4680001                     -0.39043224
                   1.471                     -0.38951656
                   1.474                     -0.38852584
                   1.477                     -0.38754278
                    1.48                     -0.38664791
                   1.483                     -0.38592198
               1.4859999                     -0.38544064
                   1.489                     -0.38527894
                   1.492                      -0.3855045
                   1.495                     -0.38617962
                   1.498                     -0.38735904
                   1.501                      -0.3890912
               1.5039999                     -0.39141467
                   1.507                     -0.39436011
                    1.51                     -0.39794804
                   1.513                      -0.4021911
                   1.516                     -0.40708945
               1.5190001                     -0.41263642
                   1.522                     -0.41881328
                   1.525                     -0.42559636
                   1.528                     -0.43294911
                   1.531                     -0.44082874
                   1.534                     -0.44918651
               1.5369999                      -0.4579646
                    1.54                     -0.46710267
                   1.543                     -0.47653356
                   1.546                     -0.48618719
                   1.549                     -0.49599293
                   1.552                     -0.50587682
               1.5549999                     -0.51576603
