        Frequency / GHz                VSWR1/abs,linear
----------------------------------------------------------------------
                       1                       82.922088
                   1.003                       81.693896
                   1.006                       81.105623
               1.0089999                       81.126161
                   1.012                       81.741722
                   1.015                       82.953495
                   1.018                       84.777094
                   1.021                       87.242233
                   1.024                       90.392516
                   1.027                        94.28622
                    1.03                       98.996298
                   1.033                        104.6093
                   1.036                       111.22747
                   1.039                       118.96243
               1.0420001                       127.93303
                   1.045                       138.25338
                   1.048                       150.01464
                   1.051                       163.25759
                   1.054                       177.92867
                   1.057                       193.82037
               1.0599999                       210.50823
                   1.063                       227.28066
                   1.066                       243.11384
                   1.069                       256.72513
                   1.072                       266.74912
                   1.075                       272.01807
               1.0779999                       271.86948
                   1.081                       266.34611
                   1.084                       256.17538
                   1.087                       242.55898
                    1.09                       226.84597
               1.0930001                       210.28712
                   1.096                        193.8543
                   1.099                       178.22004
                   1.102                       163.77951
                   1.105                       150.72022
                   1.108                       139.08443
               1.1109999                       128.82983
                   1.114                       119.86232
                   1.117                       112.07002
                    1.12                       105.33311
                   1.123                       99.539847
                   1.126                       94.585009
               1.1289999                       90.378126
                   1.132                       86.837745
                   1.135                       83.897044
                   1.138                       81.497695
                   1.141                        79.59211
               1.1440001                       78.141471
                   1.147                       77.113645
                    1.15                       76.484009
                   1.153                       76.233446
                   1.156                       76.347448
                   1.159                       76.815623
               1.1619999                       77.631349
                   1.165                       78.790863
                   1.168                       80.290792
                   1.171                       82.128747
                   1.174                       84.302249
                   1.177                       86.805591
               1.1799999                       89.628394
                   1.183                       92.753651
                   1.186                        96.15473
                   1.189                       99.791941
                   1.192                       103.60962
               1.1950001                        107.5344
                   1.198                       111.47041
                   1.201                       115.30286
                   1.204                       118.89903
                   1.207                       122.11187
                    1.21                       124.79454
               1.2130001                       126.80757
                   1.216                       128.03698
                   1.219                       128.40543
                   1.222                       127.88179
                   1.225                       126.48638
                   1.228                       124.28851
               1.2309999                       121.39524
                   1.234                       117.94128
                   1.237                       114.07283
                    1.24                       109.93575
                   1.243                       105.66437
               1.2460001                       101.37501
                   1.249                       97.163793
                   1.252                       93.105409
                   1.255                       89.253653
                   1.258                       85.646372
                   1.261                       82.306727
               1.2640001                       79.246802
                   1.267                       76.470564
                    1.27                       73.975603
                   1.273                       71.755748
                   1.276                       69.802048
                   1.279                       68.104419
               1.2819999                       66.651288
                   1.285                       65.431982
                   1.288                       64.435019
                   1.291                       63.650258
                   1.294                       63.067317
